year,state,total,AmericanCrow,AmericanRobin,BicknellsThrush,BlackandwhiteWarbler,BlackburnianWarbler,BlackcappedChickadee,BlackpollWarbler,BlackthroatedBlueWarbler,BlackthroatedGreenWarbler,BlueheadedVireo,BlueJay,BorealChickadee,BrownCreeper,CanadaWarbler,CedarWaxwing,ChestnutsidedWarbler,CommonRaven,CommonYellowthroat,DarkeyedJunco,EurasianWren,FoxSparrow,GoldencrownedKinglet,GrayJay,HairyWoodpecker,HermitThrush,LeastFlycatcher,MagnoliaWarbler,MourningDove,MourningWarbler,MyrtleWarbler,NashvilleWarbler,Ovenbird,PurpleFinch,RedbreastedNuthatch,RedeyedVireo,RubycrownedKinglet,SlatecoloredJunco,SwainsonsThrush,WhitethroatedSparrow,YellowbelliedFlycatcher,YellowbelliedSapsucker,YellowrumpedWarbler
2000,Maine,71,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0
2001,Maine,224,0,0,21,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,65,0,0,0
2002,Maine,229,0,0,18,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,71,0,0,0
2003,Maine,313,0,0,25,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,106,0,0,0
2004,Maine,322,0,0,26,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,74,0,0,0
2005,Maine,289,0,0,15,0,0,1,56,2,0,0,0,4,0,2,0,1,2,0,0,57,0,7,1,0,0,0,3,0,0,16,1,2,4,1,4,1,13,41,49,6,0,0
2006,Maine,496,0,0,22,0,0,0,75,4,2,3,0,4,0,0,0,0,1,0,0,78,0,4,0,0,8,6,13,3,0,24,16,3,5,3,0,3,36,82,92,9,0,0
2007,Maine,448,0,2,28,0,1,2,69,1,3,6,0,3,1,0,1,0,0,0,6,42,1,7,0,0,2,2,19,0,0,26,8,2,4,8,1,8,20,78,84,12,0,1
2008,Maine,246,0,1,20,0,0,0,54,1,3,1,0,5,0,0,0,0,0,0,8,16,1,4,2,0,2,0,6,0,0,22,2,9,0,2,1,2,9,41,31,3,0,0
2009,Maine,325,0,0,22,0,0,0,53,0,1,3,2,1,1,0,0,0,3,0,21,51,2,8,1,2,0,0,9,0,0,15,10,2,1,2,0,2,3,57,41,9,0,3
2010,Maine,395,0,0,25,0,0,0,57,0,0,0,0,0,1,0,0,0,1,0,6,58,5,4,3,0,0,1,5,0,0,14,3,0,0,21,0,6,13,98,64,4,1,5
2000,Massachusetts,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
2001,Massachusetts,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2002,Massachusetts,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2003,Massachusetts,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2004,Massachusetts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2005,Massachusetts,41,0,3,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,1,9,0,0,2,2,0,0,3,2,6,0,0,0
2006,Massachusetts,22,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,1,3,0,0,0
2008,Massachusetts,30,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,3,0,0,4,0,0,4,0,1,0,0,1,5,0,0,0
2009,Massachusetts,30,0,9,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,4,0,0,1,0,0,0,0,0,3,0,0,0
2010,Massachusetts,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2001,New Hampshire,329,0,0,40,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,120,0,0,0
2002,New Hampshire,387,0,0,39,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,116,0,0,0
2003,New Hampshire,346,0,0,44,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,111,0,0,0
2004,New Hampshire,323,0,0,24,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,92,0,0,0
2005,New Hampshire,679,0,2,55,0,2,5,129,2,0,0,4,11,0,0,0,0,1,0,0,107,0,2,0,0,5,0,7,0,0,29,3,0,2,6,0,2,52,86,146,21,0,0
2006,New Hampshire,687,0,4,30,0,0,5,116,0,3,2,0,5,1,1,1,0,1,0,0,103,0,12,0,0,14,0,21,0,0,35,9,0,2,4,1,3,53,117,130,14,0,0
2007,New Hampshire,862,1,1,61,0,2,4,129,0,3,3,7,11,3,0,0,0,0,3,12,44,0,5,1,0,4,0,35,3,0,53,22,0,6,15,0,5,43,149,202,23,0,12
2008,New Hampshire,826,0,0,59,2,0,1,140,2,8,3,2,4,3,0,0,4,3,2,20,88,0,16,0,0,19,0,28,0,0,44,20,0,2,0,2,5,37,138,135,30,0,9
2009,New Hampshire,644,0,0,53,0,1,2,92,0,4,3,1,9,0,0,0,1,1,0,26,114,0,2,0,0,2,0,6,1,0,20,2,0,0,5,0,15,9,119,121,16,0,19
2010,New Hampshire,665,0,0,49,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,13,96,0,1,0,0,8,0,7,5,0,20,5,0,3,17,0,6,19,151,150,9,0,6
2000,New York,18,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
2001,New York,330,0,0,30,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,80,0,0,0
2002,New York,462,0,0,48,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,125,0,0,0
2003,New York,684,0,0,76,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,191,0,0,0
2004,New York,554,0,0,65,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,145,0,0,0
2005,New York,1130,0,0,79,0,2,3,146,7,5,2,6,5,6,0,6,0,3,0,0,217,0,17,0,2,18,2,27,0,0,70,18,1,10,7,6,5,40,167,213,32,8,0
2006,New York,989,0,1,100,1,2,11,135,5,13,9,2,4,2,2,6,0,2,1,0,155,0,13,0,3,20,7,27,1,0,61,24,1,9,5,3,1,29,148,160,24,2,0
2007,New York,1395,1,3,109,4,2,7,184,4,18,10,7,8,0,1,10,0,9,0,26,106,0,7,0,3,32,0,64,3,0,92,18,2,21,21,6,9,32,225,252,54,5,40
2008,New York,1266,2,2,111,2,1,5,170,7,14,10,8,2,0,1,1,0,1,0,22,155,0,15,0,0,19,1,32,2,0,70,16,7,7,19,6,11,29,185,232,55,5,41
2009,New York,1212,0,0,112,0,0,1,160,2,7,8,1,3,2,1,0,0,4,0,29,156,0,6,0,0,15,2,35,3,0,70,19,0,6,9,5,13,31,208,236,40,4,24
2010,New York,762,0,0,79,0,1,1,120,1,2,2,2,0,3,0,4,0,0,0,4,113,0,8,0,1,4,2,15,0,0,36,2,2,6,5,1,8,10,168,137,17,0,8
2000,Vermont,862,0,0,55,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,219,0,0,0
2001,Vermont,714,0,0,54,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,230,0,0,0
2002,Vermont,755,0,0,59,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,210,0,0,0
2003,Vermont,929,0,0,74,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,318,0,0,0
2004,Vermont,921,0,0,51,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,279,0,0,0
2005,Vermont,1480,1,18,87,0,0,14,255,3,6,9,11,0,0,3,0,0,4,2,0,252,0,15,0,0,20,1,45,4,0,108,19,3,4,12,2,2,76,188,297,18,1,0
2006,Vermont,1856,0,26,105,1,1,7,279,5,22,16,5,3,1,1,4,4,2,2,0,338,0,18,1,0,24,0,54,3,2,131,21,3,15,9,4,5,119,299,283,42,1,0
2007,Vermont,2112,7,24,150,5,1,24,276,7,17,8,7,1,2,11,8,3,6,2,82,184,0,10,1,3,28,1,99,3,10,109,32,8,33,67,4,6,46,332,380,57,0,58
2008,Vermont,1466,4,27,55,1,2,2,188,11,16,9,18,1,2,2,2,3,7,0,34,175,0,28,0,1,20,0,73,0,2,87,30,3,11,15,3,8,65,204,254,65,0,38
2009,Vermont,1410,5,30,73,0,4,1,197,5,14,8,10,0,4,4,0,2,6,1,74,201,0,13,0,0,17,4,59,8,1,79,17,5,13,10,2,17,16,200,232,37,0,41
2010,Vermont,1116,0,18,49,3,2,4,163,8,11,8,6,0,1,4,5,0,1,0,39,165,0,12,0,0,16,2,42,9,0,60,9,0,7,18,2,6,20,198,194,22,0,12
