Group;Site;Observed.S;Persistent.S;T;Pattern;Null.Pattern;p.val
Birds;easternwood;45;30;31;0.0096498059;0.0043488376;0.5394
Birds;elverde;19;16;20;-0.2064886429;0.0917794794;0.1108
Birds;hubbard;25;24;42;-0.3881091623;0.0653347846;0.0014
Birds;konza_songbirds;68;64;29;-0.125722276;0.0898746366;0.0834
Birds;konza_waterfowl;7;3;29;-0.4016417414;0.3819826613;0.1928
Birds;mountainbird_maine;28;21;11;-0.2994264797;0.2226678633;0.2564
Birds;mountainbird_ny;36;28;11;0.6843565065;0.2663023551;0.9108
Birds;mountainbird_vt;38;34;11;-0.3145755482;0.8394526344;0.088
Birds;pawnee_birds;25;22;9;-0.065670689;0.0710988616;0.491
Birds;pawnee_raptors;5;3;9;0.0364217821;0.5289347458;0.4402
Birds;redvers;13;13;26;-0.339847509;0.23047089;0.0026
Birds;skokholm;16;9;52;-1.0983328205;0.0119141031;0.0062
Birds;texas;14;11;16;-0.4061478135;0.5546695659;0.01
Birds;whitemountain;23;20;15;-0.2824850496;0.1029673432;0.0106
Fish;hinkleyflatfish;9;5;17;-0.744654082;-0.0693000339;0.083
Fish;hinkleygadoidfish;14;8;17;-0.4912763263;0.4269920885;0.0122
Fish;northseademersal;7;7;24;0.1038908797;1.0745342842;0.0138
Fish;northseaflatfish;11;11;24;1.2252558016;0.612044311;0.98
Fish;northseagadoid;9;9;24;0.5041088644;0.3054665769;0.753
Fish;northseapelagic;3;3;24;-1.4381933787;1.345831286;0.0138
Herps;boldparklizards;19;14;7;0.0549096421;0.5217079175;0.4848
Herps;boldparksnakes;7;3;7;0.0187964915;1.3567211178;0.3198
Herps;coweetasalamanders;4;4;15;0.179778257;-0.006996372;0.9026
Herps;cowleylizards;6;4;15;0.2465567553;0.944009249;0.606
Herps;cowleysnakes;16;7;15;0.5315161275;0.3641759242;0.8604
Herps;esgeorgeturtles;3;2;18;0.0177580607;0.2385401583;0.279
Herps;fitchsnakes;3;3;58;0.0904261273;0.0716191243;0.5998
Herps;luquillo;3;3;4;0.3747854147;1.0822126209;0.273
Herps;orabandalizards;42;25;4;1.5295453438;0.4683685999;0.9324
Herps;orabandasnakes;9;5;4;0.4209583301;0.8338650504;0.83
Herps;rainbowfrogs;13;13;16;2.4595684888;0.0734159249;0.9994
Invertebrates;cacoastmolluscs;8;7;66;0.4337699986;2.2140814817;0.3184
Invertebrates;hubbardleps;5;4;12;-1.8386909803;0.8938631254;0
Invertebrates;jornadapitC;113;11;6;0.1105254704;0.558526463;0.6184
Invertebrates;jornadapitG;132;12;6;4.7728996658;0.7822797693;0.9432
Invertebrates;jornadapitM;62;8;6;0.5325436587;0.0780891428;0.927
Invertebrates;jornadapitT;122;13;6;-0.5261856809;0.1727738929;0.0362
Invertebrates;luquillosnails;18;16;17;-0.1253228083;0.2622345117;0.0206
Invertebrates;oneidazooplankton;33;24;32;-0.1882423769;0.32313509;0.1938
Invertebrates;pacificarthropodsCAY;12;3;11;0.0689780627;0.9507434306;0.6968
Invertebrates;pacificechinoderms;8;3;11;0.6357644652;-0.192017735;0.782
Invertebrates;pacificmolluscsBOA;40;6;11;0.4662238091;2.1626679045;0.3418
Invertebrates;pacificmolluscsCAY;40;8;11;0.1575867365;2.6442876292;0.1392
Invertebrates;pacificmolluscsGPT;40;6;11;2.8471209298;5.3484295272;0.6132
Invertebrates;pacificmolluscsHAZ;40;5;11;1.2131368389;4.3466331685;0.1918
Invertebrates;pacificmolluscsMCR;40;6;11;2.409845569;4.2485820941;0.4886
Invertebrates;pacificmolluscsOCC;40;6;11;2.8745029366;5.6063284347;0.4208
Invertebrates;pacificmolluscsPSN;40;5;11;1.7355713993;3.9607587796;0.4416
Invertebrates;pacificmolluscsSAD;40;6;11;-4.0321086036;6.6547097086;0.0058
Invertebrates;pacificmolluscsSHB;40;6;11;2.2505535714;2.6399650996;0.786
Invertebrates;ukbutterfliesA;23;21;10;4.3508893916;0.4032428119;0.988
Invertebrates;ukbutterfliesC;28;26;10;-0.6870228354;0.1706690922;2.00E-004
Invertebrates;ukbutterfliesF;33;32;10;-0.6320601493;0.2116329171;0.004
Invertebrates;ukbutterfliesG;36;33;10;-0.3672626134;0.1483059188;8.00E-004
Invertebrates;ukbutterfliesM;32;29;10;0.2706884318;0.1491667882;0.906
Invertebrates;ukbutterfliesW;25;24;10;-0.9817472135;0.8617908245;6.00E-004
Mammals;alberta;7;6;63;-0.1236564683;0.1565347206;0.0232
Mammals;albertaB;7;6;63;-0.6497555227;0.3775215952;0
Mammals;manitoba;8;8;63;-0.4662570901;0.1221958865;2.00E-004
Mammals;newbrunswick;5;5;63;0.4883754062;-0.1867051708;0.9966
Mammals;northwest;9;9;63;1.2274215262;0.2631846384;0.997
Mammals;ontario;8;7;63;-1.574340652;0.355583168;0.003
Mammals;quebec;8;8;63;-0.7686057239;0.0651471845;0
Mammals;saskatch;9;8;63;-0.85954846;0.1392570299;0
Mammals;yukon;7;6;63;0.0201094777;0.1022463579;0.2668
Mammals;curlew;5;4;14;0.8443522934;0.7336935359;0.736
Mammals;curlewPM;4;3;14;0.3489180558;0.2107198463;0.8986
Mammals;goldengate;9;5;11;-0.346972853;0.5492453761;0.067
Mammals;hilaire_rod;3;3;11;8.5460767584;1.2352850553;0.9248
Mammals;INEEL;3;3;12;1.5655319407;2.4770772071;0.4106
Mammals;Jornadagrass;6;2;13;0.0677283433;0.8535477195;0.0512
Mammals;Jornadashrub;11;4;13;-0.083251331;0.2307680835;0.2684
Mammals;karoo_ungulates;14;10;16;-0.6702120173;0.5595253784;0.0116
Mammals;Konza;7;4;17;-0.7305213075;0.2247545809;0.0034
Mammals;KrugerNP;11;8;17;2.9105783862;0.1753158511;1
Mammals;Ontario_rod;6;6;44;-0.1774019371;0.3060273155;0.0268
Mammals;Portal;9;9;22;2.2396585885;0.3358047054;0.9898
Mammals;pdm_rodabund;3;3;21;0.4652127188;0.2776290656;0.7358
Mammals;pdm_sqabund;2;2;21;-0.3298855271;1.0144338687;0.0182
Mammals;5pgrass;11;4;17;-0.5648671879;0.5155892994;0.035
Mammals;5plarrea;12;5;17;-0.3037876825;0.2867796787;0.0852
Mammals;rslarrea;15;10;17;-0.1083762255;0.2404900344;0.1352
Mammals;shortgrass;5;4;7;-1.5974438911;0.0307131089;0.0252
Plants;desertlab;55;29;29;5.7564420427;0.3760907379;0.9876
Plants;desertlabshrub;54;30;21;0.0702665099;0.5419245119;0.503
Plants;Jornada_CS;111;26;20;0.5419420907;1.1660421605;0.754
Plants;Jornada_CW;83;19;19;1.2121553272;2.4393360107;0.7448
Plants;Jornada_GS;167;67;20;-0.0479251694;1.0788343509;0.2086
Plants;Jornada_GW;119;47;19;0.9381581552;1.1753064251;0.8138
Plants;Jornada_MS;79;18;20;3.4988502123;1.7293499194;0.9304
Plants;Jornada_MW;61;12;18;-1.2682224304;3.0265445482;0.0072
Plants;Jornada_PS;84;18;20;0.4093983613;1.3173024304;0.682
Plants;Jornada_PW;53;6;19;4.0255163539;4.1953506387;0.8768
Plants;Jornada_TS;99;29;20;-1.3131094371;1.2587551917;4.00E-004
Plants;Jornada_TW;81;22;19;0.5476219605;2.0612176478;0.4506
Plants;kansasannuals;34;5;39;2.1067241105;4.2053885881;0.7322
Plants;kansasperennials;102;52;41;36.9532594563;0.954994858;0.997
Plants;portalsummer;68;40;32;-0.563907338;0.7837598929;0.0096
Plants;portalwinter;71;38;32;0.0148570481;0.6169555839;0.4152
Plants;steppe_counts;73;10;27;0.4364051115;0.9687196922;0.8078
Plants;steppe_cover;14;1;32;NA;-0.0230733473;0
